url,name,MaSanPham,author,NXB,NgayPhatHanh,kichthuoc,sotrang,gioithieu,giatien
http://nhanam.com.vn/sach/48700/meo-chien-binh---con-duong-hiem-nguy,Mèo chiến binh - Con đường hiểm nguy,8935235239005,Erin Hunter,Hội nhà văn,Ngày phát hành: 19-09-2023,Kích thước: 14 x 20.5cm,Số trang: 405,"Con đường hiểm nguy là tập thứ năm trong bộ Mèo chiến binh (2003-2004) của tác giả Erin Hunter. Bộ truyện giành được nhiều phản hồi tích cực, được dịch ra hơn 20 thứ tiếng và có lực lượng người hâm mộ hùng hậu trên khắp thế giới",159.000đ
http://nhanam.com.vn/sach/47732/trai-tim-nguoi-lon-la-con-hau-mang-vo,Trái tim người lớn là con hàu mang vỏ,8935235239296,Nini (Vương Mạn Nghê),Hà Nội,Ngày phát hành: 11-09-2023,Kích thước: 15x21 cm,Số trang: 312,"Tập truyện đầu tay này của tôi tập hợp những ghi chép rải rạc về tình yêu và ước mơ, những trải nghiệm tự chữa lành sau vụn vỡ, những tâm sự về số phận và hy vọng.",190.000đ
http://nhanam.com.vn/sach/48713/ly-trieu-di-truyen,Lý triều dị truyện,8935235239357,Phan Cuồng,Hội nhà văn,Ngày phát hành: 20-09-2023,Kích thước: 15x24 cm,Số trang: 475,"Nước Đại Việt triều Lý đời vua Lý Anh Tông xảy ra loạn Thân Lợi. Thân Lợi là một phù thủy cao tay có tài “mê tâm thuật”, có thể làm người ta u mê tinh thần để dễ sai khiến. Với pháp lực bẩm sinh hiếm thấy cộng thêm quá trình tu tập, Thân Lợi trở thành giáo chủ của Xương Cuồng giáo, một tà giáo thờ thần Xương Cuồng, thâu tập những kẻ chuyên luyện tà năng bằng các cách thức man rợ. Nhưng tham vọng của Thân Lợi không dừng ở đó, hắn muốn chính mình trở thành thần Xương Cuồng, để sở hữu quyền năng vô biên. Kẻ nào muốn luyện thành phép này phải tột bậc kỳ công cùng may mắn mới hội đủ các yếu tố. Thân Lợi đã chuẩn bị nhiều năm, và gần như đã có tất cả...",168.000đ
http://nhanam.com.vn/sach/48720/tan-den-dau-lac,Tàn đèn dầu lạc,8935235238770,Nguyễn Tuân,Hội nhà văn,Ngày phát hành: 13-10-2023,Kích thước: 14.5 x 20.5cm,Số trang: 130, được xem là tập tiếp theo của cuốn ,75.000đ
http://nhanam.com.vn/sach/48704/ngon-den-dau-lac---viet-nam-danh-tac,Ngọn đèn dầu lạc - Việt Nam danh tác,8935235238787,Nguyễn Tuân,Hội nhà văn,Ngày phát hành: 20-09-2023,Kích thước: 14.5 x 20.5cm,Số trang: 126," là tập phóng sự về việc hút thuốc phiện ở Việt Nam hồi đầu thế kỷ 20. Hút thuốc phiện dưới con mắt của Nguyễn Tuân vừa độc hại như một thứ gây nghiện, tàn phá sức khỏe của kẻ hút và làm khốn đốn gia đình, xã hội. Nhưng đồng thời hút thuộc phiện cũng được Nguyễn Tuân mô tả như một thú chơi của giới nghệ sĩ, trí thức, đem đến những cảm xúc thăng hoa trong sáng tạo và công việc.",75.000đ
http://nhanam.com.vn/sach/48722/bat-hanh-la-mot-tai-san---mot-minh-o-chau-au,Bất hạnh là một tài sản - Một mình ở Châu Âu,8935235239302,Phan Việt,Hội nhà văn,Ngày phát hành: 27-09-2023,Kích thước: 14 x 20.5cm,Số trang: 343,,129.000đ
http://nhanam.com.vn/sach/48705/qua-dem-o-nha-cac-vua-nguyen,Qua đêm ở nhà các vua Nguyễn,8935235238992,Nguyễn Ngọc Tiến,Hội nhà văn,Ngày phát hành: 21-09-2023,Kích thước: 14 x 20.5cm,Số trang: 318,"cuốn sách tập hợp các bài viết thể hiện quan điểm, suy ngẫm của tác giả Nguyễn Ngọc Tiến về lịch sử, văn hóa, xã hội Việt Nam trong quá khứ cũng như trong hiện tại. ",120.000đ
http://nhanam.com.vn/sach/48709/ca-hoi---hanh-trinh-tinh-thuc,Cá hồi – Hành trình tỉnh thức,8935235238862,Tâm Bùi,Phụ nữ,Ngày phát hành: 20-09-2023,Kích thước: 14 x 20.5cm,Số trang: 255,"Cuốn sách CÁ HỒI của Tâm Bùi kể về hành trình thay đổi suy nghĩ, lối sống sau khi giác ngộ được những lý lẽ của đạo Phật (thông qua các khóa tu tập tại làng Mai và sự giảng đạo của thiền sư Thích Nhất Hạnh).",99.000đ
http://nhanam.com.vn/sach/48706/co-mot-pho-vua-di-qua-pho,Có một phố vừa đi qua phố,8935235239289,Đinh Vũ Hoàng Nguyên,Hội nhà văn,Ngày phát hành: 19-09-2023,Kích thước: 14 x 20.5cm,Số trang: 247,,88.000đ
http://nhanam.com.vn/sach/48699/bo-ngoi-cung-con-nhe,"Bố ngồi cùng con, nhé!",8935235239364,Phạm Gia Hiền,Phụ nữ,Ngày phát hành: 21-09-2023,Kích thước: 14 x 20.5cm,Số trang: 251,Một ghi chép đầy tình yêu thương về hành trình làm bố của nhà báo sắc sảo Phạm Gia Hiền.,120.000đ
http://nhanam.com.vn/sach/48712/dai-nam-di-truyen,Đại Nam dị truyện,8935235239340,Phan Cuồng,Hội nhà văn,Ngày phát hành: 20-09-2023,Kích thước: 15x24 cm,Số trang: 392,"Năm Cảnh Hưng thứ bốn mươi ba, huyện Cốc Dương, trấn Sơn Tây, đêm rằm tháng Bảy. Một gã phù thủy đang lập trận thu nạp âm binh giữa bãi chôn người. Phạm Đình Quyết, dòng dõi của một gia đình chín đời làm nghề khâm liệm đã vô tình chứng kiến cảnh tượng kinh dị này. Từ đây, hắn bắt đầu bước chân vào một thế giới chưa từng biết. Hắn dần dần khám phá ra bí mật của gia đình mình. Và thân phận thực sự của hắn, một Lạc Vu Điện Súy của Trấn Quốc Hội, nơi tập hợp những phù thủy cao tay, những nhà huyền thuật xuất sắc đang âm thầm bảo vệ Đông Kinh trước sự tấn công của giáo phái Hàng Long tà đạo từ ngoại bang.",139.000đ
http://nhanam.com.vn/sach/39481/dam-tre-nhieu-van-hoa,Đám trẻ nhiễu văn hóa,8935235234079,Ngọc (Bi) Nguyễn,Hội nhà văn,Ngày phát hành: 29-06-2022,Kích thước: 14 x 20.5 cm,Số trang: 272,"Sinh ra ở Moscow bởi bố mẹ người Việt Nam nhưng lại tin rằng mình có phần nào đó là người Xô viết, chuyển về Hà Nội khi lên 3 và vào học trường Quốc tế Pháp dưới sự ủng hộ của ông bà, 15 tuổi rời Việt Nam sang Mỹ để học tại một trường nội trú ở tiểu bang Connecticut, câu hỏi mà Ngọc Nguyễn, cũng như những đứa trẻ nhiễu văn hóa khác, cảm thấy khó trả lời nhất là ""Bạn đến từ đâu?”. Vượt lên trên một cuốn nhật ký cá nhân,",119.000đ
http://nhanam.com.vn/sach/42705/nang-trong-vuon---viet-nam-danh-tac,Nắng trong vườn - Việt Nam Danh Tác,8935235237407,Thạch Lam,Hội nhà văn,Ngày phát hành: 24-03-2023,Kích thước: 14.5 x 20.5cm,Số trang: 170,"""KHI TÔI QUAY LẠI NHÌN CHỒNG NÀNG, tôi thấy rõ cái lãnh đạm của người đàn ông ấy... Nàng có sung sướng không? Nàng có còn nhớ đến tôi không? Ngậm ngùi, tôi nghĩ đến cuộc ái ân ngắn ngủi...trong mấy tháng hè: cái tình yêu  biết đâu chẳng vẫn còn để lại trong lòng nàng một vẻ rực rỡ như ánh nắng trong vườn.""",52.000đ
http://nhanam.com.vn/sach/44719/truong-day-nghe-o-viet-nam-thoi-phap-thuoc-18,Trường dạy nghề ở Việt Nam thời Pháp thuộc (1898-1945),8935235237803,Trần Thị Phương Hoa,Thế Giới,Ngày phát hành: 29-06-2023,Kích thước: 15.5x24 cm,Số trang: 324,"Ở Việt Nam giai đoạn trung đại, nghề nghiệp gắn liền với gia đình, làng xã, địa phương. Mỗi vùng đất có một đặc sản nghề riêng mà tiếng tăm vẫn được truyền đến ngày nay nhờ được lưu truyền trong ca dao cổ. Việc truyền nghề được coi là việc riêng của dòng họ hay địa phương, thậm chí nghề được giữ gìn như bí quyết riêng của gia đình hay dòng họ, ngăn cấm truyền dạy cho người ngoài...",200.000đ
