url,name,MaSanPham,author,NXB,NgayPhatHanh,kichthuoc,sotrang,gioithieu,giatien
http://nhanam.com.vn/sach/47738/nguoi-dai-bac,Người Đài Bắc,8935235239012,Bạch Tiến Dũng,Hà Nội,Ngày phát hành: 04-10-2023,Kích thước: 14 x 20.5cm,Số trang: 313,"Bao gồm 14 truyện ngắn từng được đăng trên tờ Văn học hiện đại trong suốt thập niên 60 thế kỷ 20, lần đầu xuất bản vào năm 1971 song đến nay vẫn xếp thứ 7 trong danh sách 100 tiểu thuyết Hoa ngữ tiêu biểu thế kỷ 20, Người Đài Bắc là tác phẩm giữ thứ hạng cao nhất của một nhà văn còn tại thế trong danh sách này. ",179.000đ
http://nhanam.com.vn/sach/48715/tat-xau-nguoi-viet,Tật xấu người Việt,8935235239500,Di Li,Hội nhà văn,Ngày phát hành: 04-10-2023,Kích thước: 14 x 20.5cm,Số trang: 384,"“Các cụ xưa nay vẫn cho rằng ở đời có ba việc lớn là cưới vợ, xây nhà, tậu trâu (trâu đây là sự nghiệp, vì nghiệp xưa của các cụ vốn gắn liền với trâu). Có người thì định nghĩa ‘Hạnh phúc là sáng muốn đi làm, chiều thì muốn về nhà.’ Đủ hiểu hạnh phúc hay bất hạnh ở đời cũng chỉ loanh quanh ba cái điều ấy thôi. ",149.000đ
http://nhanam.com.vn/sach/47741/nhung-loi-di-duoi-hang-cay-tam-toi,Những lối đi dưới hàng cây tăm tối,8935235238848,Ivan Bunin,Văn học,Ngày phát hành: 19-09-2023,Kích thước: 14 x 20.5cm,Số trang: 292,,85.000đ
http://nhanam.com.vn/sach/48726/nam-hoa-kinh,Nam Hoa Kinh,8935235239548,Trang Tử,Văn học,Ngày phát hành: 06-10-2023,Kích thước: 15x24 cm,Số trang: 334,"“Thầy Trang mặc áo vải to mà có chỗ vá, nối đai, buộc giày mà sang chơi vua nước Ngụy.",109.000đ
http://nhanam.com.vn/sach/47743/hoi-he-mien-man,Hội hè miên man,8935235238732,Ernest Hemingway,Hội nhà văn,Ngày phát hành: 19-09-2023,Kích thước: 14 x 20.5cm,Số trang: 318,,115.000đ
http://nhanam.com.vn/sach/47739/doi-tho,Đồi thỏ,8935235238961,Richard Adams,Hội nhà văn,Ngày phát hành: 19-09-2023,Kích thước: 15x24 cm,Số trang: 494,,169.000đ
http://nhanam.com.vn/sach/48731/tro-lai-babylon-tuyen-tap-truyen-ngan-anh---m,Trở lại Babylon tuyển tập truyện ngắn Anh - Mỹ,8935235239425,Ernest Hemingway,Văn học,Ngày phát hành: 18-10-2023,Kích thước: 14 x 20.5cm,Số trang: 473,"Tuyển tập truyện ngắn của mười tên tuổi lớn trong nền văn học Anh - Mỹ, những người có thể coi là một đỉnh cao, tỏa bóng và để lại ảnh hưởng lên rất nhiều thế hệ nhà văn sau này:",150.000đ
http://nhanam.com.vn/sach/46712/bien-nien-ky-sao-hoa,Biên niên ký Sao Hỏa,8935235238169,Ray Bradbury,Văn học,Ngày phát hành: 08-08-2023,Kích thước: 14 x 20.5cm,Số trang: 402,"Dẫu được tôn vinh vào hàng kinh điển trong dòng sách khoa học viễn tưởng, khoa học lại mờ nhạt đến gần như vắng bóng trong Biên niên ký Sao Hỏa. Sao Hỏa, trong trí tưởng tượng của Bradbury những năm bốn mươi của thế kỷ hai mươi, không có gì giống với hành tinh lạnh lẽo khô khốc chúng ta biết tới ngày nay. Đó là một nơi có bầu khí quyển gần như Trái Đất, sinh sống một giống loài thông minh khá giống loài người. Đó là xứ sở của những rặng núi xanh lam, của những dòng kênh xanh lục, của những cây cột pha lê, của lớp bụi mờ phủ lên những thành phố tráng lệ đã chết. Sao Hỏa của Bradbury là một chốn của hy vọng, của ảo mộng và của ẩn dụ. Chính ở nơi đây, những kẻ xâm lược Trái Đất đã đến, tháo chạy khỏi một thế giới không tương lai đến một miền đất hứa, một giấc mơ Mỹ thứ hai. Người Trái Đất tràn lên Sao Hỏa, để rồi bị chính Sao Hỏa ru ngủ trong những tiện nghi thân quen lọc lừa, rù quến trong ánh hào quang còn sót lại của chủng loài bản địa cổ xưa đầy bí hiểm.",165.000đ
http://nhanam.com.vn/sach/47708/con-trai-phan-thu-tu-cua-nguoi-truyen-ky-uc,Con Trai (phần thứ tư của Người truyền ký ức),8935235238671,Lois Lowry,Hội nhà văn,Ngày phát hành: 06-09-2023,Kích thước: 14 x 20.5cm,Số trang: 425,"Họ gọi cô là Claire Thủy Triều. Khi cô trôi dạt vào bờ biển của họ, chẳng ai biết rằng cô vừa trốn chạy khỏi một xã hội không sắc màu, không cảm xúc.",158.000đ
http://nhanam.com.vn/sach/47711/tieng-ken-thien-nga,Tiếng kèn thiên nga,8935235238879,E.B.White,Hội nhà văn,Ngày phát hành: 25-08-2023,Kích thước: 14 x 20.5cm,Số trang: 241,"“Thiên nga thì phải vui tươi, không buồn bã; phong nhã, không vụng về; can trường, không hèn nhát.” Và nếu là thiên nga kèn, thì còn phải biết cất tiếng kêu ",80.000đ
