url,name,MaSanPham,author,NXB,NgayPhatHanh,kichthuoc,sotrang,gioithieu,giatien
http://nhanam.com.vn/sach/46720/an-dam-khong-nuoc-mat-tb-2023,Ăn dặm không nước mắt (TB 2023),8935235238657,Nguyễn Thị Ninh,Thế Giới,Ngày phát hành: 07-08-2023,Kích thước: 14.5x20.5cm,Số trang: 176,"Thế nào là ăn dặm không nước mắt? Là khi con không khóc vì bị ép ăn và mẹ không khóc vì con bỏ bữa. Là khi con hào hứng trước mỗi bữa ăn và mẹ hạnh phúc thấy con ăn hết phần đồ ăn mẹ làm.  Cuốn sách Ăn dặm không nước mắt của mẹ Xoài, một người mẹ Việt nuôi con ở Nhật hẳn sẽ mang đến nhiều gợi ý. Học hỏi các bà mẹ Nhật, mẹ Xoài đã cố gắng tập cho bé Xoài thói quen ăn uống tự giác, tập trung. Mẹ Xoài cũng tôn trọng sở thích, nhu cầu và mong muốn của bé. Còn để khiến bé háu ăn và ăn được nhiều hơn, mẹ Xoài đã chế biến các món ăn thật ngon lành, đa dạng, trang trí vô cùng đẹp mắt để bé chỉ nhìn thôi đã thèm.",120.000đ
http://nhanam.com.vn/sach/19225/so-tay-an-dam-cua-me,Sổ tay ăn dặm của mẹ,8935235225909,BS Lê Thị Hải,Thế Giới,Ngày phát hành: 23-03-2020,"Kích thước: 14 x 20,5cm",Số trang: 267,"“Trong quá trình khám chữa bệnh, tôi gặp nhiều trường hợp các em bé bị suy dinh dưỡng, còi xương không phải vì gia đình không có điều kiện mà do… quá có điều kiện. Tôi gặp những em bé khá bụ bẫm nhưng bố mẹ vẫn đưa đi khám vì thấy con không tăng cân và cho là con biếng ăn. Trong khi đó cũng có những trường hợp bố mẹ nói rằng con ăn rất được nhưng thực ra khẩu phần dinh dưỡng lại không đủ hoặc không cân đối. Nhưng biếng ăn là câu chuyện tôi gặp nhiều nhất. Chưa bao giờ câu chuyện cho bé ăn gì và ăn như thế nào lại khiến các bố mẹ lo lắng nhiều như vậy.",99.000đ
http://nhanam.com.vn/sach/19099/cho-va-meo-duoi-lang-kinh-khoa-hoc,Chó và mèo dưới lăng kính khoa học ,8935235223844,Antonio Fischetti,Thế Giới,Ngày phát hành: 28-11-2019,Kích thước: 25x32 cm,Số trang: 62,"Bạn có nuôi chó hoặc mèo? Chắc hẳn là bạn rất thân thiết với người bạn bốn chân ấy. Vậy bạn có hiểu những hành vi, cử chỉ của “boss”? Chẳng hạn, tại sao chó lại vẫy đuôi cả khi vui mừng lẫn khi căng thẳng? Có nên nhìn thẳng vào mắt một con chó đang giận dữ? Những tiếng gừ gừ của mèo có ý nghĩa gì? Tại sao mèo lại khó tính với đồ ăn đến thế?",125.000đ
http://nhanam.com.vn/sach/17002/tu-dien-chuc-quan-viet-nam,Từ điển chức quan Việt Nam,8935235221550,Đỗ Văn Ninh,Thông Tấn,Ngày phát hành: 24-06-2019,Kích thước: 17x25 cm,Số trang: 678,"Lịch sử lâu đời hơn hai nghìn năm của nước Việt Nam đã tạo nên những hệ thống quan lại liên tục được cải tổ theo sự vận động của các thời kỳ, các triều đại. Một hiểu biết vừa tổng thể, vừa chi tiết về bộ máy cai trị của xã hội là điều kiện cần thiết để chúng ta hôm nay có thể đọc sử và hiểu sử.",250.000đ
http://nhanam.com.vn/sach/19028/dia-chinh-tri-cua-loai-muoi---khai-luoc-ve-to,Địa chính trị của loài muỗi - Khái lược về toàn cầu hóa,8935235223356,Erik Orsenna,Hà Nội,Ngày phát hành: 04-10-2019,Kích thước: 14 x 20.5 cm,Số trang: 328,"Từ 250 triệu năm trước, muỗi đã có mặt trên Trái đất, vậy nhưng chúng chẳng nán lại lâu la gì: vòng đời trung bình của một con muỗi là 30 ngày. Rất đông đúc (3564 loài), có mặt trên khắp các châu lục, chúng giết người vô tội vạ (750 000 người mỗi năm)! Khi chúng vo ve bên tai ta thì không phải chỉ là để quấy rầy giấc khuya của ta, mà còn là để kể cho chúng ta một câu chuyện : câu chuyện về những đường biên giới bị xóa nhòa, về những đột biến không ngừng, về những cuộc chiến đấu để sinh tồn. Và đặc biệt là câu chuyện tay ba giữa muỗi, ký sinh trùng và con mồi (chính là chúng ta).",108.000đ
http://nhanam.com.vn/sach/17960/nghe-thuat-song-hanh-phuc-gat-thanh-cong,Nghệ thuật sống hạnh phúc gặt thành công,8935235222625,Rolf Dobelli,Thế Giới,Ngày phát hành: 09-07-2019,Kích thước: 14x20.5 cm,Số trang: 396,"Từ xưa tới nay, con người vẫn luôn tự hỏi thế nào là một đời hạnh phúc? Con người ta nên sống ra sao? Điều gì rạo nên một cuộc sống hạnh phúc? Hạnh phúc tại tâm hay vì đạt được những mục tiêu trong đời? Sẽ tốt hơn nếu chủ động tìm kiếm hạnh phúc hay chủ động né tránh những điều khiến ta không hạnh phúc? Có người dành cả đời mải miết đi tìm câu trả lời cho những câu hỏi này, và vì một lẽ nào đó chỉ luôn nhận lại thất vọng. Vì sao ư? Phải chăng vì họ cứ kiếm tìm một nguyên tắc duy nhất, một nguyên lý duy nhất, một quy luật duy nhất, trong khi chén thánh đó của cuộc sống hạnh phúc đâu có tồn tại.",129.000đ
http://nhanam.com.vn/sach/19034/nhan-vat-noi-tieng-the-gioi--cac-lanh-tu-lay,Nhân vật nổi tiếng thế giới– Các lãnh tụ lẫy lừng,8935235223707,Renzo Barsotti,Hà Nội,Ngày phát hành: 20-09-2019,Kích thước: 24x31 cm,Số trang: 126,Mong muốn được sống tử tế và sống có ích là điều then chốt tạo nên một cuộc sống hạnh phúc cho bạn trong tương lai. Các nhà lãnh đạo tự cổ chí kim đều mang trong mình những tố chất khơi gợi cảm hứng ấy và truyền cho bạn động lực bước lên những nấc thang mới.,149.000đ
http://nhanam.com.vn/sach/19380/cong-thuc-hanh-phuc,Công thức hạnh phúc ,8935235227286,Manfred F. R. Kets de Vries,Thế Giới,Ngày phát hành: 10-08-2020,Kích thước: 14x20.5 cm,Số trang: 164,Hạnh phúc thực ra là gì? Công thức nào tạo ra hạnh phúc?,88.000đ
http://nhanam.com.vn/sach/19108/song-khoe-khong-rui-ro,Sống khỏe không rủi ro ,8935235224902,Frédéric Saldmann,Dân Trí,Ngày phát hành: 19-12-2019,Kích thước: 14 x 20.5cm,Số trang: 348,"Nên rửa tay trước hay sau khi đi vệ sinh, đá lạnh có thể giúp giảm cân, ôm giúp cắt cơn đói, tiểu đứng hay tiểu ngồi có lợi, đạp xe nhiều làm giảm nhu cầu tình dục,...? Bằng cách cung cấp những quy tắc vệ sinh đáng ngạc nhiên, những cách cắt cơn đói tự nhiên, danh sách những loại thực phẩm chống tăng cân,... ",118.000đ
http://nhanam.com.vn/sach/19098/lich-lam-nhu-mot-quy-ong,Lịch lãm như một quý ông,8935235224292,Élisabeth Jammes,Thế Giới,Ngày phát hành: 04-12-2019,Kích thước: 15x21 cm,Số trang: 128,"Lịch lãm luôn là yếu tố tiên quyết tạo nên sức hấp dẫn cho phái mạnh. Với tất cả những ai đang loay hoay tìm kiếm phong cách, hoặc xây dựng hình ảnh người đàn ông hiện đại, thành công và thu hút, ",108.000đ
http://nhanam.com.vn/sach/19036/nhan-vat-noi-tieng-the-gioi---van-hoa-va-nghe,Nhân vật nổi tiếng thế giới – Văn hóa và nghệ thuật,8935235223691,Renzo Barsotti,Hà Nội,Ngày phát hành: 02-03-2020,Kích thước: 24x31 cm,Số trang: 126,Các hoạt động nghệ thuật và văn hóa giúp chúng ta giải tỏa căng thẳng trong cuộc sống và còn từng bước vun đắp tâm hồn ta.,149.000đ
