url,name,MaSanPham,author,NXB,NgayPhatHanh,kichthuoc,sotrang,gioithieu,giatien
http://nhanam.com.vn/sach/48727/chuyen-gia-tu-vung---co-gi-trong-thanh-pho,Chuyên gia từ vựng - Có gì trong thành phố,8935235239463,Annabel Savery,Hà Nội,Ngày phát hành: 06-10-2023,Kích thước: 23x26 cm,Số trang: 48,Dành cho lứa tuổi 4+,75.000đ
http://nhanam.com.vn/sach/48724/nep-gap-thoi-gian-the-graphic-novel,Nếp gấp thời gian (The Graphic Novel),8935235239234,Madeleine L’Engle,Hội nhà văn,Ngày phát hành: 13-10-2023,Kích thước: 15.5x23 cm,Số trang: 392,,220.000đ
http://nhanam.com.vn/sach/48729/lam-nguoi-lon-mot-dieu-huyen-bi,"Làm người lớn, một điều huyền bí",8935235239555,Thêm vào giỏ hàng,8935235239555,Ngày phát hành: 13-10-2023,Kích thước: 15x20 cm,Số trang: 111,MỘT CUỐN SÁCH GÂY ĐỒNG CẢM SÂU SẮC VÀ BUỒN CƯỜI KHÔNG CHỊU ĐƯỢC.,69.000đ
http://nhanam.com.vn/sach/48710/quai-vat-bang---bestseller-hai-huoc-so-mot-nu,Quái vật băng – Bestseller hài hước SỐ MỘT nước Anh của David Walliams,8935235239319,David Walliams,Hội nhà văn,Ngày phát hành: 21-09-2023,Kích thước: 14 x 20.5cm,Số trang: 491,Đây là câu chuyện kể về một cô bé mồ côi mười tuổi và một con voi ma mút 10.000 tuổi...,180.000đ
http://nhanam.com.vn/sach/48735/tu-sach-tinh-cam-gia-dinh---con-yeu-me-vo-cun,Tủ sách tình cảm gia đình - Con yêu mẹ vô cùng,8935235239449,Phượng Nguyễn,Hà Nội,Ngày phát hành: 18-10-2023,Kích thước: 20x20 cm,Số trang: 28,Lời yêu thương,45.000đ
http://nhanam.com.vn/sach/48728/chuyen-gia-tu-vung---co-gi-o-san-bay,Chuyên gia từ vựng - Có gì ở sân bay,8935235239470,Skylar White minh họa,Hà Nội,Ngày phát hành: 06-10-2023,Kích thước: 23x26 cm,Số trang: 48,Dành cho lứa tuổi 4+,75.000đ
http://nhanam.com.vn/sach/46715/gau-koda---lan-hoi-am,Gấu Koda - Làn hơi ấm,8935235238534,Lee Rury & Emanuele Bertossi,Hội nhà văn,Ngày phát hành: 07-08-2023,Kích thước: 20.5x23.5 cm,Số trang: 38, ,65.000đ
http://nhanam.com.vn/sach/46717/cuoc-xe-tuoi-tre,Cuốc xe tuổi trẻ,8935235238480,Mèo Mốc,Thế Giới,Ngày phát hành: 16-08-2023,Kích thước: 17x24 cm,Số trang: 186," là một hành trình đầy sôi nổi và say mê của 12 họa sĩ trẻ Việt Nam, với 12 truyện ngắn bằng tranh sinh động và giàu sáng tạo. Mỗi câu chuyện là một góc nhìn, có khi huyền ảo, mộng mơ, có khi sâu lắng, day dứt, về một lát cắt đời thường, về một vấn đề xã hội, một sắc màu văn hóa, một góc khuất nội tâm hay một cảm xúc bất ngờ.  ",155.000đ
http://nhanam.com.vn/sach/47733/nep-gap-thoi-gian,Nếp gấp thời gian,8935235238725,Madeleine L’Engle,Hội nhà văn,Ngày phát hành: 13-10-2023,Kích thước: 14 x 20.5cm,Số trang: 307,,90.000đ
http://nhanam.com.vn/sach/48734/tu-sach-tinh-cam-gia-dinh---ca-nha-ben-nhau,Tủ sách tình cảm gia đình - Cả nhà bên nhau,8935235239456,Phượng Nguyễn,Hà Nội,Ngày phát hành: 18-10-2023,Kích thước: 20x20 cm,Số trang: 28,Cùng gắn kết,45.000đ
http://nhanam.com.vn/sach/47712/co-ga-mai-xong-chuong,Cô gà mái xổng chuồng,8935235238749,Hwang Sun-mi,Hội nhà văn,Ngày phát hành: 25-08-2023,Kích thước: 15x23 cm,Số trang: 196,"Mầm Lá là cô gà duy nhất trong đàn đến giờ ăn không chúi đầu vào máng mà lại thò cổ qua lưới sắt để ngắm tán cây Mimosa ngoài vườn, cũng là cô gà duy nhất có một cái tên riêng do cô tự đặt. Không chấp nhận cuộc sống quẩn quanh trong chuồng chỉ để xơi cám và đẻ trứng, Ipssac mơ ước được đi lại đó đây, được ấp trứng rồi dẫn bầy con của mình tha thẩn khắp nơi như Gà Mái nhà – thành viên của gia đình sân vườn.",109.000đ
http://nhanam.com.vn/sach/47709/chuyen-phieu-luu-ky-dieu-cua-edward-tulane,Chuyến phiêu lưu kỳ diệu của Edward Tulane,8935235238763,Kate DiCamillo,Hồng Đức,Ngày phát hành: 25-08-2023,Kích thước: 16.5x19 cm,Số trang: 210,"Ngày xưa, trong ngôi nhà trên phố Ai Cập, có một chú  thỏ bằng sứ tên là Edward Tulane. Chú được làm ra bởi một người chế tác đồ chơi bậc thầy, được mặc trên người những bộ quần áo tuyệt hảo đặt may riêng.Chú vô cùng ngưỡng mộ và đề cao bản thân, không màng tới cô chủ Abilene đang vô cùng nâng niu chú. Thế nhưng, trên chuyến đi lênh đênh vượt đại dương, một thằng bé đã vô tình quăng chú khỏi mạn tàu. Và từ đó, hành trình lưu lạc của Edward bắt đầu. ",92.000đ
http://nhanam.com.vn/sach/47703/meo-lang-thang-va-bo-cau-nhi,Mèo lang thang và Bồ Câu nhí,8935235238640,Edward Hemingway,Hà Nội,Ngày phát hành: 06-09-2023,Kích thước: 24x24 cm,Số trang: 35,Gã Mèo lang thang chiếm một khu đất hoang làm nơi nương náu. Chẳng kẻ nào được phép bén mảng vào địa phận của gã.,69.000đ
http://nhanam.com.vn/sach/47720/lat-gio-song-ngu---chia-se-nao,Lật giở song ngữ - CHIA SẺ NÀO,8935235238930,Yusuke Yonezu,Thông Tấn,Ngày phát hành: 06-09-2023,Kích thước: 16.8x16.8 cm,Số trang: 26,Sách lật giở song ngữ 0-3 tuổi,92.000đ
http://nhanam.com.vn/sach/47719/lat-gio-song-ngu---mam-mam-mam,Lật giở song ngữ - MĂM MĂM MĂM,8935235238923,Yusuke Yonezu,Thông Tấn,Ngày phát hành: 06-09-2023,Kích thước: 16.8x16.8 cm,Số trang: 24,Sách lật giở song ngữ 0-3 tuổi,92.000đ
http://nhanam.com.vn/sach/47717/lat-gio-song-ngu---mon-gi-vay,Lật giở song ngữ - MÓN GÌ VẬY,8935235238909,Yusuke Yonezu,Thông Tấn,Ngày phát hành: 06-09-2023,Kích thước: 16.8x16.8 cm,Số trang: 16,Sách lật giở song ngữ 0-3 tuổi,86.000đ
http://nhanam.com.vn/sach/47718/lat-gio-song-ngu---dung-khoc-nhe,Lật giở song ngữ - ĐỪNG KHÓC NHÉ,8935235238916,Yusuke Yonezu,Thông Tấn,Ngày phát hành: 06-09-2023,Kích thước: 16.8x16.8 cm,Số trang: 16,Sách lật giở song ngữ 0-3 tuổi,86.000đ
http://nhanam.com.vn/sach/47715/lat-gio-song-ngu---hoa-gi-the,Lật giở song ngữ - HOA GÌ THẾ,8935235238886,Yusuke Yonezu,Thông Tấn,Ngày phát hành: 06-09-2023,Kích thước: 16.8x16.8 cm,Số trang: 14,Sách lật giở song ngữ 0-3 tuổi,86.000đ
http://nhanam.com.vn/sach/47716/lat-gio-song-ngu---qua-gi-day,Lật giở song ngữ - QUẢ GÌ ĐÂY,8935235238893,Yusuke Yonezu,Thông Tấn,Ngày phát hành: 06-09-2023,Kích thước: 16.8x16.8 cm,Số trang: 14,Sách lật giở song ngữ 0-3 tuổi,86.000đ
http://nhanam.com.vn/sach/47727/lich-su-the-gioi-theo-dong-su-kien---tu-thoi,Lịch sử thế giới theo dòng sự kiện - Từ thời đồ đá tới thời hiện đại,8935235238596,Jane Chisholm,Hội nhà văn,Ngày phát hành: 19-09-2023,Kích thước: 23.8x30.5cm,Số trang: 130,"Có bao giờ bạn tự hỏi, bánh xe được sáng tạo ra từ khi nào? Hay bạn muốn biết, vào lúc các Pharaoh cho xây dựng các Kim tự tháp ở Ai Cập thì người Ấn Độ đã văn minh đến đâu? Hoặc đơn giản, bạn đã quá ngán những tiết học lịch sử trên lớp, và muốn khám phá cuộc hành trình đến với văn minh của loài người theo một cách trực quan và sinh động, và nhất là… không gây buồn ngủ?",189.000đ
http://nhanam.com.vn/sach/44729/kho-tang-cau-do-dan-gian-bang-tranh---que-huo,Kho tàng câu đố dân gian bằng tranh – Quê hương Đất nước,8935235238145,Thụ Nho sưu tầm & biên soạn,Hội nhà văn,Ngày phát hành: 22-06-2023,Kích thước: 16 x 24 cm,Số trang: 83,Dành cho tuổi mẫu giáo và tiểu học,68.000đ
http://nhanam.com.vn/sach/44728/kho-tang-cau-do-dan-gian-bang-tranh---gia-din,Kho tàng câu đố dân gian bằng tranh – Gia đình Làng xóm,8935235238138,Thụ Nho sưu tầm & biên soạn,Hội nhà văn,Ngày phát hành: 22-06-2023,Kích thước: 16 x 24 cm,Số trang: 83,Dành cho tuổi mẫu giáo và tiểu học,68.000đ
http://nhanam.com.vn/sach/45709/lu-tre-duong-tau,Lũ trẻ đường tàu,8935235238367,Edith Nesbit,Hội nhà văn,Ngày phát hành: 07-07-2023,Kích thước: 14 x 20.5cm,Số trang: 310,,85.000đ
http://nhanam.com.vn/sach/42706/vi-me-yeu-con-nhieu---because-i-love-you-so-m,Vì mẹ yêu con nhiều - Because I love you so much,8935235237063,Guido Van Genechten,Dân Trí,Ngày phát hành: 27-03-2023,Kích thước: 20.5x28.5cm,Số trang: 25,"Bé Gấu Tuyết đã biết rất nhiều điều: đám cá ngon lành bơi ở đâu, bông tuyết có vị thế nào, gió có thể mơn man mà cũng có thể buốt táp, khi nào mặt trời nhô và khi nào mặt trăng ló. Bé cũng biết nếu ở cách mẹ bao xa thì dễ gặp nguy hiểm. ",65.000đ
http://nhanam.com.vn/sach/42709/phat-trien-ky-nang-xa-hoi---50-hoat-dong-thu,"PHÁT TRIỂN KỸ NĂNG XÃ HỘI - 50 hoạt động thú vị giúp bạn nhỏ kết bạn, giao tiếp và thành thạo các kỹ năng xã hội",8935235237094,Sarah Rebar,Hà Nội,Ngày phát hành: 29-03-2023,Kích thước: 19x24 cm,Số trang: 147,Học kỹ năng xã hội qua những hoạt động SIÊU VUI!,135.000đ
http://nhanam.com.vn/sach/42738/chuyen-xom-ga---qua-trung-cua-hoang-de,Chuyện xóm gà – Quả trứng của Hoàng đế ,8935235237674,Christian Jolibois-Christian Heinrich,Hà Nội,Ngày phát hành: 13-04-2023,Kích thước: 14.5x19 cm,Số trang: 48,"Carmen, Carmélito, Bélino và gà Ú đang mải miết chơi thả diều thì một chuyện quái lạ xảy đến khiến tất cả cùng bối rối: xóm gà thân yêu của chúng đã thay hình đổi dạng! Giờ đây không sao vượt qua được tường thành… Thậm chí ông bạn già Pédro còn có vẻ không nhận ra chúng!",58.000đ
http://nhanam.com.vn/sach/42737/chuyen-xom-ga---giai-cuu-dong-song-hoi-thoi,Chuyện xóm gà – Giải cứu dòng sông hôi thối,8935235237667,Christian Jolibois-Christian Heinrich,Hà Nội,Ngày phát hành: 13-04-2023,Kích thước: 14.5x19 cm,Số trang: 48,"Còn gì khoái bằng việc được tắm sông sau một trận lội bùn tĩ tã. Nhưng thảm hoạ thay! Con sông chảy qua xóm gà đã mang một màu khác lạ, chưa kể nó còn bốc mùi hôi thối! Carmen, Carmélito và Bélino bèn lội ngược dòng lên thượng nguồn để tìm hiểu vấn đề…",58.000đ
